,Company Name,Salary,tags,Job Roles
124,DocsApp,900000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
125,Vispara Technosoft,200000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
126,Vmoksha Technologies,228000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
127,Artoo,400000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
128,Edelweiss Financial Services,600000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
129,Hubbler,400000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
130,L&T Technology Services,500000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
131,Rossitek Mobile Apps Development,216000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
132,Pricyfy,216000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
133,MYNEWCAR,300000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
134,IBM,540000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
135,Panel Coder Software Technologies,400000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
136,Knitter,500000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
137,3Embed Software Technologies,400000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
138,Web Digital Mantra,100000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
139,FitnyTech,252000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
140,CRK Gida Technologies,700000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
141,FuGenX Technologies,100000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
142,Outthinking,200000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
143,iMars Technologies,156000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
144,GreedyGame,348000,"['Android', 'Developer', '-', 'Intern', 'Bangalore', 'Intern', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
145,In Time Tec,600000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
146,IndGlobal,300000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
147,CYBERNETYX Interaktiv,864000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
148,Karabi Software,120000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
149,Keyfalcon Solutions,400000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
150,ABCDEF,168000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
151,Cumulations Technologies,400000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
152,Dcoder,96000,"['Android', 'Developer', '-', 'Intern', 'Bangalore', 'Intern', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
153,powerplay app,1000000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
154,Fembuddy,420000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
